,Recipe_ID,RECIPE_NM_KO,Ingredient,TF-IDF Value,SCORE,TF-IDF_WEIGHT
4245,402,불고기꽃만두,설탕,0.09791525468463437,1,0.09791525468463437
4246,402,불고기꽃만두,쇠고기,0.18660907650297276,2,0.3732181530059455
4247,402,불고기꽃만두,참기름,0.10511596643344978,4,0.4204638657337991
4248,402,불고기꽃만두,후춧가루,0.0999233721932998,2,0.1998467443865996
4249,402,불고기꽃만두,깨소금,0.1485348308820431,5,0.7426741544102156
4250,402,불고기꽃만두,마늘,0.18103570521811368,1,0.18103570521811368
4251,402,불고기꽃만두,식용유,0.18103570521811368,1,0.18103570521811368
4252,402,불고기꽃만두,양파,0.14616089445525215,2,0.2923217889105043
4253,402,불고기꽃만두,피망,0.276403728552115,1,0.276403728552115
4254,402,불고기꽃만두,밀가루,0.24251163086992716,3,0.7275348926097815
4255,402,불고기꽃만두,케첩,0.4476914906707801,1,0.4476914906707801
4256,402,불고기꽃만두,치자,0.6690003621588626,2,1.3380007243177252
4257,403,해물샤브샤브,미나리,0.17115817724140658,1,0.17115817724140658
4258,403,해물샤브샤브,소금,0.03138442349284154,1,0.03138442349284154
4259,403,해물샤브샤브,당근,0.11305010195164533,3,0.339150305854936
4260,403,해물샤브샤브,표고버섯,0.1419635159387533,4,0.5678540637550132
4261,403,해물샤브샤브,다시마,0.166321383030158,2,0.332642766060316
4262,403,해물샤브샤브,새우,0.17822093748912513,1,0.17822093748912513
4263,403,해물샤브샤브,청주,0.11374076293811208,4,0.45496305175244833
4264,403,해물샤브샤브,곤약,0.36502778498447974,1,0.36502778498447974
4265,403,해물샤브샤브,팽이버섯,0.1951584168398325,4,0.78063366735933
4266,403,해물샤브샤브,낙지,0.259984835461075,3,0.7799545063832249
4267,403,해물샤브샤브,와사비,0.27454871308324547,3,0.8236461392497364
4268,403,해물샤브샤브,가쓰오브시,0.2832638870125299,2,0.5665277740250598
4269,403,해물샤브샤브,맛조개,0.36502778498447974,1,0.36502778498447974
4270,403,해물샤브샤브,깨소스,0.4102673209350969,3,1.2308019628052906
4271,403,해물샤브샤브,폰즈소스,0.4102673209350969,1,0.4102673209350969
4272,404,간장게장,간장,0.1173576943012326,5,0.5867884715061631
4273,404,간장게장,다진파,0.2407283755806341,1,0.2407283755806341
4274,404,간장게장,설탕,0.14048838016240872,2,0.28097676032481744
4275,404,간장게장,참기름,0.15081992995887014,3,0.4524597898766104
4276,404,간장게장,고추,0.21543082444652914,5,1.0771541222326457
4277,404,간장게장,고춧가루,0.22629952019948177,3,0.6788985605984453
4278,404,간장게장,깨소금,0.21311712720888465,3,0.639351381626654
4279,404,간장게장,마늘,0.2597492398867582,2,0.5194984797735164
4280,404,간장게장,생강,0.33984470120807675,2,0.6796894024161535
4281,404,간장게장,꽃게,0.7481901316578566,2,1.4963802633157133
4282,405,녹두죽,설탕,0.15204371227814803,5,0.7602185613907402
4283,405,녹두죽,소금,0.07946789141571925,3,0.23840367424715775
4284,405,녹두죽,쌀,0.5611643951152924,3,1.6834931853458772
4285,405,녹두죽,녹두,0.8097296372527728,5,4.048648186263864
4286,406,돼지불고기,간장,0.13460427412643033,3,0.403812822379291
4287,406,돼지불고기,고추장,0.35937167878877296,3,1.0781150363663188
4288,406,돼지불고기,다진마늘,0.1703764162622967,3,0.51112924878689
4289,406,돼지불고기,다진파,0.2761051880713851,1,0.2761051880713851
4290,406,돼지불고기,돼지고기,0.41231364946832033,3,1.236940948404961
4291,406,돼지불고기,설탕,0.16113418508734628,3,0.48340255526203885
4292,406,돼지불고기,참기름,0.17298403242146485,5,0.8649201621073243
4293,406,돼지불고기,후춧가루,0.16443884256243138,2,0.32887768512486276
4294,406,돼지불고기,고춧가루,0.25955590583966315,3,0.7786677175189894
4295,406,돼지불고기,깨소금,0.24443626285149964,2,0.48887252570299927
4296,406,돼지불고기,물엿,0.5237017714873851,2,1.0474035429747701
4297,406,돼지불고기,청주,0.305219933659855,2,0.61043986731971
4298,407,단호박구이,설탕,0.15898237769665222,5,0.7949118884832611
4299,407,단호박구이,소금,0.0830944873583319,3,0.2492834620749957
4300,407,단호박구이,후춧가루,0.1622429043352252,3,0.4867287130056756
4301,407,단호박구이,버터,0.5370614248089356,3,1.6111842744268068
4302,407,단호박구이,단호박,0.8081226241899445,2,1.616245248379889
4303,408,라조기,간장,0.06719143221389547,2,0.13438286442779093
4304,408,라조기,계란,0.15519465141265854,1,0.15519465141265854
4305,408,라조기,참기름,0.08634974605350142,2,0.17269949210700283
4306,408,라조기,표고버섯,0.19016410830660843,5,0.9508205415330422
