,Unnamed: 0,Ingredient,Similar Ingredient,Word2Vec Value
161,161,찹쌀,다진마늘,0.9615202546119691
1210,1210,쑥갓,소금,0.9615159034729004
771,771,양송이버섯,설탕,0.961514174938202
364,364,대추,대파,0.9611997008323668
380,380,잣,다진마늘,0.9611139297485352
942,942,토마토,후춧가루,0.9608923196792604
410,410,감자,소금,0.9608113765716552
162,162,찹쌀,간장,0.9604523181915284
411,411,감자,다진마늘,0.9603861570358276
772,772,양송이버섯,다진마늘,0.9602209329605104
943,943,토마토,고추장,0.9601464867591858
163,163,찹쌀,설탕,0.9600647687911988
412,412,감자,간장,0.9600589871406556
413,413,감자,고춧가루,0.9599268436431884
381,381,잣,홍고추,0.959912359714508
920,920,파프리카,간장,0.9597115516662598
944,944,토마토,고춧가루,0.9596040844917296
382,382,잣,간장,0.9595701694488524
961,961,닭,다진마늘,0.9594940543174744
414,414,감자,설탕,0.9594700932502748
164,164,찹쌀,후춧가루,0.9593535661697388
383,383,잣,무,0.9592996835708618
1211,1211,쑥갓,간장,0.9591916799545288
962,962,닭,간장,0.9588646888732909
1212,1212,쑥갓,다진마늘,0.9582078456878662
963,963,닭,소금,0.958062708377838
964,964,닭,대파,0.9580023288726808
384,384,잣,설탕,0.9579676389694214
420,420,우유,다진마늘,0.9579533338546752
1440,1440,양상추,간장,0.9576200246810912
1400,1400,베이컨,간장,0.957416296005249
1213,1213,쑥갓,후춧가루,0.9572865962982178
921,921,파프리카,다진마늘,0.9572526812553406
773,773,양송이버섯,소금,0.9572470784187316
774,774,양송이버섯,후춧가루,0.9572150707244872
1214,1214,쑥갓,홍고추,0.9571763277053832
922,922,파프리카,설탕,0.9570550918579102
610,610,상추,설탕,0.9570289850234984
923,923,파프리카,후춧가루,0.9569827318191528
924,924,파프리카,홍고추,0.95671808719635
1401,1401,베이컨,다진마늘,0.9560717344284058
900,900,피망,설탕,0.9560711979866028
421,421,우유,간장,0.956038773059845
422,422,우유,소금,0.9560104608535768
611,611,상추,다진마늘,0.9560052156448364
1441,1441,양상추,다진마늘,0.9553872346878052
423,423,우유,설탕,0.9553509950637816
612,612,상추,간장,0.9552676677703856
901,901,피망,간장,0.9552179574966432
1442,1442,양상추,소금,0.9550159573554992
1402,1402,베이컨,후춧가루,0.9544546604156494
530,530,배,설탕,0.9542816877365112
613,613,상추,후춧가루,0.9541835188865662
1403,1403,베이컨,소금,0.9541170001029968
902,902,피망,깨소금,0.9539669156074524
424,424,우유,참기름,0.953760027885437
1450,1450,머스터드,다진마늘,0.9537364840507508
1443,1443,양상추,설탕,0.9537234902381896
903,903,피망,다진마늘,0.9536428451538086
904,904,피망,소금,0.9536198377609252
614,614,상추,소금,0.9536123275756836
1404,1404,베이컨,설탕,0.9533379077911376
850,850,생강즙,다진마늘,0.9531005024909972
1240,1240,낙지,간장,0.9530647993087769
1444,1444,양상추,홍고추,0.9530495405197144
440,440,청피망,설탕,0.952384114265442
1360,1360,미림,간장,0.9522256851196288
851,851,생강즙,소금,0.9520343542099
852,852,생강즙,설탕,0.9510594010353088
441,441,청피망,다진마늘,0.9507817625999452
1241,1241,낙지,설탕,0.9507575035095216
442,442,청피망,간장,0.95064777135849
1242,1242,낙지,다진마늘,0.950584590435028
1243,1243,낙지,홍고추,0.9504286050796508
531,531,배,고추장,0.9504109621047974
853,853,생강즙,간장,0.9503767490386964
532,532,배,간장,0.9503196477890016
854,854,생강즙,참기름,0.9502262473106384
1244,1244,낙지,참기름,0.9501937031745912
1361,1361,미림,다진마늘,0.950087547302246
443,443,청피망,소금,0.9499967694282532
444,444,청피망,대파,0.9499213695526124
1451,1451,머스터드,후춧가루,0.9498834609985352
1452,1452,머스터드,간장,0.9495899677276612
533,533,배,다진마늘,0.9492607712745668
1370,1370,고등어,다진마늘,0.9489842653274536
1362,1362,미림,후춧가루,0.948974311351776
1100,1100,굴,다진마늘,0.9489207863807678
1363,1363,미림,소금,0.9484947323799132
1101,1101,굴,설탕,0.948059618473053
1453,1453,머스터드,설탕,0.9480217695236206
534,534,배,후춧가루,0.9480000734329224
1364,1364,미림,설탕,0.947757601737976
520,520,애호박,다진마늘,0.947182595729828
870,870,꿀,설탕,0.946925163269043
1454,1454,머스터드,소금,0.9468332529067992
1371,1371,고등어,후춧가루,0.9466294050216676
1372,1372,고등어,참기름,0.9459041357040404
1373,1373,고등어,고춧가루,0.9457464814186096
521,521,애호박,설탕,0.9456617832183838
1374,1374,고등어,홍고추,0.94536292552948
320,320,파,후춧가루,0.9451600313186646
1102,1102,굴,간장,0.9450995326042176
1103,1103,굴,대파,0.944537878036499
100,100,숙주,다진마늘,0.9442299008369446
1104,1104,굴,후춧가루,0.9439679384231568
871,871,꿀,간장,0.9439151287078856
1040,1040,버터,설탕,0.9438706040382384
1041,1041,버터,다진마늘,0.943693995475769
522,522,애호박,대파,0.943623661994934
523,523,애호박,소금,0.9435843229293824
190,190,부추,간장,0.9434000253677368
321,321,파,설탕,0.9433017373085022
1150,1150,바지락,간장,0.94312983751297
524,524,애호박,고춧가루,0.9430667757987976
322,322,파,소금,0.9430097937583924
191,191,부추,무,0.9429122805595398
323,323,파,간장,0.9428785443305968
720,720,모시조개,간장,0.9427722692489624
721,721,모시조개,다진마늘,0.9427188038825988
192,192,부추,홍고추,0.942585825920105
324,324,파,다진마늘,0.9424767494201659
193,193,부추,참기름,0.9424158930778505
1151,1151,바지락,설탕,0.9423441290855408
872,872,꿀,다진마늘,0.9421610832214355
