,RECIPE_ID,RECIPE_NM_KO,Ingredient,TF-IDF Value,TF-IDF_WEIGHT,SCORE
149,15,해물국수,소금,0.038869775,0.11660932500000001,3
150,15,해물국수,오징어,0.21623567800000001,1.08117839,5
151,15,해물국수,죽순,0.300784815,0.300784815,1
152,15,해물국수,청주,0.140868537,0.281737074,2
153,15,해물국수,파,0.289217495,0.289217495,1
154,15,해물국수,표고버섯,0.175822566,0.175822566,1
155,15,해물국수,홍합,0.307254934,1.5362746699999998,5
156,16,만둣국,간장,0.088093274,0.264279822,3
157,16,만둣국,김치,0.30976738600000003,1.5488369300000002,5
158,16,만둣국,깨소금,0.159974048,0.319948096,2
159,16,만둣국,다진마늘,0.11150475300000001,0.33451425900000004,3
160,16,만둣국,다진파,0.180700131,0.361400262,2
161,16,만둣국,두부,0.26118835,0.26118835,1
162,16,만둣국,만두피,0.536043291,2.680216455,5
163,16,만둣국,설탕,0.105456071,0.210912142,2
164,16,만둣국,소금,0.055118173,0.110236346,2
165,16,만둣국,쇠고기,0.20098053300000002,1.0049026650000001,5
166,16,만둣국,숙주,0.456592395,1.82636958,4
167,16,만둣국,육수,0.34706841200000005,0.34706841200000005,1
168,16,만둣국,참기름,0.113211336,0.226422672,2
169,16,만둣국,표고버섯,0.24932016399999998,0.24932016399999998,1
170,16,만둣국,후춧가루,0.10761884099999999,0.322856523,3
171,17,다시마냉국,고추,0.304377601,0.304377601,1
172,17,다시마냉국,고춧가루,0.319733749,0.639467498,2
173,17,다시마냉국,깨소금,0.301108628,0.602217256,2
174,17,다시마냉국,다시마,0.549797055,2.748985275,5
175,17,다시마냉국,다진마늘,0.209878061,0.6296341830000001,3
176,17,다시마냉국,다진파,0.34011997,0.68023994,2
177,17,다시마냉국,소금,0.10374531099999999,0.20749062199999999,2
178,17,다시마냉국,오이,0.49161765,0.49161765,1
179,18,두부국,간장,0.14295222800000001,0.42885668400000004,3
180,18,두부국,고추장,0.381659367,1.144978101,3
181,18,두부국,다진마늘,0.180942904,0.5428287119999999,3
182,18,두부국,두부,0.423840037,2.119200185,5
183,18,두부국,소금,0.089442306,0.26832691799999997,3
184,18,두부국,쇠고기,0.326138576,1.63069288,5
185,18,두부국,참기름,0.18371224100000003,0.36742448200000005,2
186,18,두부국,파,0.665511441,0.665511441,1
187,18,두부국,후춧가루,0.17463709100000002,0.34927418200000004,2
188,19,두부조개탕,계란,0.208586226,0.208586226,1
189,19,두부조개탕,고추,0.165775005,0.165775005,1
190,19,두부조개탕,두부,0.26775268,1.3387634000000002,5
191,19,두부조개탕,마늘,0.199878229,0.399756458,2
192,19,두부조개탕,모시조개,0.44664418100000003,2.233220905,5
193,19,두부조개탕,밀가루,0.26775268,0.26775268,1
194,19,두부조개탕,북어,0.575735731,2.878678655,5
195,19,두부조개탕,소금,0.056503433,0.169510299,3
196,19,두부조개탕,실파,0.263555656,0.263555656,1
197,19,두부조개탕,콩나물,0.36039972600000003,0.36039972600000003,1
198,19,두부조개탕,후춧가루,0.110323578,0.220647156,2
199,20,무맑은국,간장,0.178775018,0.536325054,3
200,20,무맑은국,마늘,0.39568496299999995,0.7913699259999999,2
201,20,무맑은국,무,0.509811134,2.54905567,5
202,20,무맑은국,소금,0.11185589900000001,0.335567697,3
203,20,무맑은국,쇠고기,0.407866534,1.631466136,4
204,20,무맑은국,실파,0.521742715,0.521742715,1
205,20,무맑은국,참기름,0.229749194,0.459498388,2
206,20,무맑은국,후춧가루,0.218399877,0.436799754,2
207,21,미역국,간장,0.14270486400000001,0.428114592,3
208,21,미역국,마늘,0.315850446,0.631700892,2
209,21,미역국,미역,0.78108104,3.9054052,5
210,21,미역국,쇠고기,0.325574228,1.302296912,4
211,21,미역국,식용유,0.315850446,0.315850446,1
212,21,미역국,참기름,0.18339434699999999,0.5501830409999999,3
213,21,미역국,후춧가루,0.17433490100000001,0.34866980200000003,2
214,22,미역냉국,간장,0.138356504,0.276713008,2
215,22,미역냉국,고춧가루,0.266791288,0.533582576,2
216,22,미역냉국,깨소금,0.25125016899999997,0.5025003379999999,2
217,22,미역냉국,다진마늘,0.17512583,0.35025166,2
218,22,미역냉국,대파,0.25814848100000004,0.5162969620000001,2
219,22,미역냉국,미역,0.757280715,3.7864035750000005,5
220,22,미역냉국,소금,0.086566855,0.17313371,2
221,22,미역냉국,오이,0.410214143,0.410214143,1
222,23,생태국,고추,0.184668096,0.184668096,1
